"rank","country","happiness2021","happiness2020","pop2021"
"84","Armenia","5.2830","4.6770","2968.1270"
"85","Nepal","5.2690","5.1370","29674.9200"
"86","Bulgaria","5.2660","5.1020","6896.6630"
"87","Maldives","5.1980","5.1980","543.6170"
"88","Azerbaijan","5.1710","5.1650","10223.3420"
"89","Cameroon","5.1420","5.0850","27224.2650"
"90","Senegal","5.1320","4.9810","17196.3010"
"91","Albania","5.1170","4.8830","2872.9330"
"92","North Macedonia","5.1010","5.1600","2082.6580"
"93","Ghana","5.0880","5.1480","31732.1290"
"94","Niger","5.0740","4.9100","25130.8170"
"95","Turkmenistan","5.0660","5.1190","6117.9240"
"96","Gambia","5.0510","4.7510","2486.9450"
"97","Benin","5.0450","5.2160","12451.0400"
"98","Laos","5.0300","4.8890","7379.3580"
"99","Bangladesh","5.0250","4.8330","166303.4980"
"100","Guinea","4.9840","4.9490","13497.2440"
"101","South Africa","4.9560","4.8140","60041.9940"
"102","Turkey","4.9480","5.1320","85042.7380"
"103","Pakistan","4.9340","5.6930","225199.9370"
"104","Morocco","4.9180","5.0950","37344.7950"
"105","Venezuela","4.8920","5.0530","28704.9540"
"106","Georgia","4.8910","4.6730","3979.7650"
"107","Algeria","4.8870","5.0050","44616.6240"
"108","Ukraine","4.8750","4.5610","43466.8190"
"109","Iraq","4.8540","4.7850","41179.3500"
"110","Gabon","4.8520","4.8290","2278.8250"
"111","Burkina Faso","4.8340","4.7690","21497.0960"
"112","Cambodia","4.8300","4.8480","16946.4380"
"113","Mozambique","4.7940","4.6240","32163.0470"
"114","Nigeria","4.7590","4.7240","211400.7080"
"115","Mali","4.7230","4.7290","20855.7350"
"116","Iran","4.7210","4.6720","85028.7590"
"117","Uganda","4.6360","4.4320","47123.5310"
"118","Liberia","4.6250","4.5580","5180.2030"
"119","Kenya","4.6070","4.5830","54985.6980"
"120","Tunisia","4.5960","4.3920","11935.7660"
"121","Lebanon","4.5840","4.7720","6769.1460"
"122","Namibia","4.5740","4.5710","2587.3440"
"123","Myanmar","4.4260","4.3080","54806.0120"
"124","Jordan","4.3950","4.6330","10269.0210"
"125","Chad","4.3550","4.4230","16914.9850"
"126","Sri Lanka","4.3250","4.3270","21497.3100"
"127","Eswatini","4.3080","4.3080","1172.3620"
"128","Comoros","4.2890","4.2890","888.4510"
"129","Egypt","4.2830","4.1510","104258.3270"
"130","Ethiopia","4.2750","4.1860","117876.2270"
"131","Mauritania","4.2270","4.3750","4775.1190"
"132","Madagascar","4.2080","4.1660","28427.3280"
"133","Togo","4.1070","4.1870","8478.2500"
"134","Zambia","4.0730","3.7590","18920.6510"
"135","Sierra Leone","3.8490","3.9260","8141.3430"
"136","India","3.8190","3.5730","1393409.0380"
"137","Burundi","3.7750","3.7750","12255.4330"
"138","Yemen","3.6580","3.5270","30490.6400"
"139","Tanzania","3.6230","3.4760","61498.4370"
"140","Haiti","3.6150","3.7210","11541.6850"
"141","Malawi","3.6000","3.5380","19647.6840"
"142","Lesotho","3.5120","3.6530","2159.0790"
"143","Botswana","3.4670","3.4790","2397.2410"
"144","Rwanda","3.4150","3.3120","13276.5130"
"145","Zimbabwe","3.1450","3.2990","15092.1710"
"146","Afghanistan","2.5230","2.5670","39835.4280"
